"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Zapallar 32","20251023_083730.WAV","2025-10-23",5,32.289,3,109.6
"Zapallar 32","20251023_084030.WAV","2025-10-23",5,76.272,3,109.6
"Zapallar 32","20251023_085400.WAV","2025-10-23",5,57.352,3,516.6
"Zapallar 32","20251023_085530.WAV","2025-10-23",5,38.063,3,516.6
"Zapallar 32","20251023_093900.WAV","2025-10-23",6,36.361,3,109.6
"Zapallar 32","20251023_095830.WAV","2025-10-23",6,32.038,3,109.6
"Zapallar 32","20251024_010000.WAV","2025-10-23",22,32.154,3,109.6
"Zapallar 32","20251024_010130.WAV","2025-10-23",22,42.54,3,109.6
"Zapallar 32","20251024_010300.WAV","2025-10-23",22,41.173,3,109.6
"Zapallar 32","20251024_010730.WAV","2025-10-23",22,35.605,3,109.6
"Zapallar 32","20251024_010900.WAV","2025-10-23",22,38.987,3,109.6
"Zapallar 32","20251024_011030.WAV","2025-10-23",22,54.607,3,109.6
"Zapallar 32","20251024_011200.WAV","2025-10-23",22,31.15,3,109.6
"Zapallar 32","20251024_011330.WAV","2025-10-23",22,58.774,3,109.6
"Zapallar 32","20251024_011500.WAV","2025-10-23",22,43.698,3,109.6
"Zapallar 32","20251024_012100.WAV","2025-10-23",22,31.666,3,109.6
"Zapallar 32","20251024_013900.WAV","2025-10-23",22,44.921,3,109.6
"Zapallar 32","20251024_014030.WAV","2025-10-23",22,32.053,3,109.6
"Zapallar 32","20251024_014200.WAV","2025-10-23",22,44.166,3,109.6
"Zapallar 32","20251024_014500.WAV","2025-10-23",22,71.677,3,109.6
"Zapallar 32","20251024_014800.WAV","2025-10-23",22,42.034,3,109.6
"Zapallar 32","20251024_015400.WAV","2025-10-23",22,46.604,3,109.6
"Zapallar 32","20251024_020000.WAV","2025-10-23",23,32.634,3,109.6
"Zapallar 32","20251024_020430.WAV","2025-10-23",23,43.64,3,109.6
"Zapallar 32","20251024_024630.WAV","2025-10-23",23,55.007,3,109.6
"Zapallar 32","20251024_031930.WAV","2025-10-24",0,48.204,3,109.6
"Zapallar 32","20251024_032100.WAV","2025-10-24",0,32.082,3,109.6
"Zapallar 32","20251024_032530.WAV","2025-10-24",0,30.026,3,109.6
"Zapallar 32","20251024_033730.WAV","2025-10-24",0,33.875,3,109.6
"Zapallar 32","20251024_034030.WAV","2025-10-24",0,38.928,3,109.6
"Zapallar 32","20251024_041630.WAV","2025-10-24",1,42.346,3,109.6
"Zapallar 32","20251024_041930.WAV","2025-10-24",1,45.891,3,109.6
"Zapallar 32","20251024_042230.WAV","2025-10-24",1,45.125,3,109.6
"Zapallar 32","20251024_043000.WAV","2025-10-24",1,31.324,3,109.6
"Zapallar 32","20251024_043600.WAV","2025-10-24",1,43.611,3,109.6
"Zapallar 32","20251024_043730.WAV","2025-10-24",1,32.922,3,109.6
"Zapallar 32","20251024_043900.WAV","2025-10-24",1,34.804,3,109.6
"Zapallar 32","20251024_044030.WAV","2025-10-24",1,46.129,3,109.6
"Zapallar 32","20251024_044330.WAV","2025-10-24",1,51.1,3,109.6
"Zapallar 32","20251024_045230.WAV","2025-10-24",1,31.561,3,109.6
"Zapallar 32","20251024_045530.WAV","2025-10-24",1,46.611,3,109.6
"Zapallar 32","20251024_045700.WAV","2025-10-24",1,45.331,3,109.6
"Zapallar 32","20251024_050300.WAV","2025-10-24",2,44.821,3,109.6
"Zapallar 32","20251024_050600.WAV","2025-10-24",2,35.273,3,109.6
"Zapallar 32","20251024_051030.WAV","2025-10-24",2,31.063,3,109.6
"Zapallar 32","20251024_051200.WAV","2025-10-24",2,34.661,3,109.6
"Zapallar 32","20251024_051500.WAV","2025-10-24",2,35.4,3,109.6
"Zapallar 32","20251024_051930.WAV","2025-10-24",2,46.052,3,109.6
"Zapallar 32","20251024_052230.WAV","2025-10-24",2,53.058,3,109.6
"Zapallar 32","20251024_053000.WAV","2025-10-24",2,32.05,3,109.6
"Zapallar 32","20251024_053130.WAV","2025-10-24",2,43.163,3,109.6
"Zapallar 32","20251024_053600.WAV","2025-10-24",2,45.123,3,109.6
"Zapallar 32","20251024_054030.WAV","2025-10-24",2,39.361,3,109.6
"Zapallar 32","20251024_054330.WAV","2025-10-24",2,43.452,3,109.6
"Zapallar 32","20251024_060000.WAV","2025-10-24",3,31.43,3,109.6
"Zapallar 32","20251024_060300.WAV","2025-10-24",3,53.282,3,109.6
"Zapallar 32","20251024_060730.WAV","2025-10-24",3,55.668,3,109.6
"Zapallar 32","20251024_060900.WAV","2025-10-24",3,34.544,3,109.6
"Zapallar 32","20251024_061030.WAV","2025-10-24",3,36.444,3,109.6
"Zapallar 32","20251024_061330.WAV","2025-10-24",3,38.856,3,109.6
"Zapallar 32","20251024_061630.WAV","2025-10-24",3,51.359,3,109.6
"Zapallar 32","20251024_062230.WAV","2025-10-24",3,40.103,3,109.6
"Zapallar 32","20251024_062400.WAV","2025-10-24",3,41.796,3,109.6
"Zapallar 32","20251024_062700.WAV","2025-10-24",3,40.974,3,109.6
"Zapallar 32","20251024_063000.WAV","2025-10-24",3,30.417,3,109.6
"Zapallar 32","20251024_063130.WAV","2025-10-24",3,41.392,3,109.6
"Zapallar 32","20251024_063600.WAV","2025-10-24",3,64.352,3,109.6
"Zapallar 32","20251024_063730.WAV","2025-10-24",3,30.892,3,109.6
"Zapallar 32","20251024_064030.WAV","2025-10-24",3,64.675,3,109.6
"Zapallar 32","20251024_064800.WAV","2025-10-24",3,33.621,3,109.6
"Zapallar 32","20251024_065100.WAV","2025-10-24",3,41.207,3,109.6
"Zapallar 32","20251024_065230.WAV","2025-10-24",3,48.374,3,109.6
"Zapallar 32","20251024_065700.WAV","2025-10-24",3,36.645,3,109.6
"Zapallar 32","20251024_070000.WAV","2025-10-24",4,33.375,3,109.6
"Zapallar 32","20251024_071500.WAV","2025-10-24",4,39.632,3,109.6
"Zapallar 32","20251024_071930.WAV","2025-10-24",4,34.375,3,109.6
"Zapallar 32","20251024_072100.WAV","2025-10-24",4,31.214,3,109.6
